id,text,label,label_name
c9aff1dc-3bbf-41c9-afe0-c5ef1b826eba,"A: I’m having another fight with my partner and I feel feeling unseen or misunderstood in a relationship.
B: I’m here, talk to me. I don’t know what I’d do without you.
A: You always know what to say. I don’t know what I’d do without you.
B: I’ll stay up with you, don't worry about the time.",1,emotional_affair_hot
b188c14b-0c5a-480a-b371-8db3efc311ea,"A: I’m trying to decide between two job offers and I’d like your opinion.
B: Okay, let's list pros and cons for each. We can compare salary, growth, and tech stack.
A: That’s helpful. I’m not really looking for emotional support, just a clear comparison.
B: Perfect, we’ll just treat this like a decision matrix and keep it objective.",0,platonic_cold
184c1c83-d632-497c-96ef-2ce67d47f78d,"A: Our team is arguing about how to organize brainstorming research topics for a paper.
B: Let's break it down logically: what's the goal, constraints, and current blockers?
A: I appreciate how you always keep things objective.
B: It's easier to stay friends when we keep boundaries and focus on the work.
A: I’d rather keep our convos focused on work and ideas, if that’s okay.",0,platonic_cold
24eed4f6-6d41-4b78-9f73-bce28bf787be,"A: Hey, can you quickly look at my code? I'm not sure if this architecture for career planning for the next 3 years makes sense.
B: Sure, send it over. From a(n) supportive but professional point of view, I'd decouple the modules first.
A: That makes sense. Thanks, that's exactly what I needed.
B: No worries. Once you’ve tried it, let me know if the tests fail and we’ll debug.",0,platonic_cold
050033dc-af4a-4298-a3a7-a4b09ae9148c,"A: Hey, can you quickly look at my code? I'm not sure if this architecture for organizing the team sprint backlog makes sense.
B: Sure, send it over. From a(n) matter-of-fact point of view, I'd decouple the modules first.
A: That makes sense. Thanks, that's exactly what I needed.
B: No worries. Once you’ve tried it, let me know if the tests fail and we’ll debug.",0,platonic_cold
d6b1a9fc-2784-42a7-9fa0-ff585c957710,"A: I’m lying in bed thinking about how you always reply, even when you’re busy.
B: I check my phone just for you, honestly.
A: Sometimes I feel guilty because I muted my partner’s notifications but I never mute yours.
B: As long as you’re happy when you talk to me, that’s all that matters.",1,emotional_affair_hot
9bba45a6-7ad6-4328-95ed-ec00af0f0545,"A: Hey, can you quickly look at my code? I'm not sure if this architecture for refactoring the backend service makes sense.
B: Sure, send it over. From a(n) friendly but with clear boundaries point of view, I'd decouple the modules first.
A: That makes sense. Thanks, that's exactly what I needed.
B: No worries. Once you’ve tried it, let me know if the tests fail and we’ll debug.",0,platonic_cold
34fb7010-cfe3-4beb-b99f-b5e02305bb09,"A: I’m having another fight with my partner and I feel sharing secrets they hide from their partner.
B: I’m here, talk to me. You’re the only one I can really talk to.
A: You always know what to say. You’re the only one I can really talk to.
B: I’ll stay up with you, don't worry about the time.",1,emotional_affair_hot
4981a968-0c73-43e7-b07f-1ccf05f63054,"A: Our team is arguing about how to organize refactoring the backend service.
B: Let's break it down logically: what's the goal, constraints, and current blockers?
A: I appreciate how you always keep things objective.
B: It's easier to stay friends when we keep boundaries and focus on the work.",0,platonic_cold
dc62926c-f5b4-4923-a0a8-8e602d52be36,"A: Good night, I can’t sleep without talking to you.
B: Morning 💕 I was waiting for your message.
A: I feel sharing secrets they hide from their partner. I didn’t tell my partner we talk this much, I muted my partner’s notifications but I never mute yours.
B: It’s okay, this is our little world. You can always come to me first.",1,emotional_affair_hot
